Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-07-29,56664.0,57474.0,56340.0,57308.0,4416500,0,0
2016-08-01,57309.0,57729.0,56676.0,56756.0,4088000,0,0
2016-08-02,56756.0,56974.0,55696.0,56162.0,3857700,0,0
2016-08-03,56157.0,57101.0,55788.0,57077.0,4058600,0,0
2016-08-04,57076.0,58030.0,57076.0,57594.0,4192000,0,0
2016-08-05,57609.0,57951.0,57290.0,57661.0,3354600,0,0
2016-08-08,57655.0,57917.0,57504.0,57635.0,3153800,0,0
2016-08-09,57637.0,58095.0,57615.0,57689.0,3049900,0,0
2016-08-10,57690.0,57953.0,56735.0,56920.0,3510600,0,0
2016-08-11,56925.0,58308.0,56923.0,58300.0,3905700,0,0
2016-08-12,58300.0,58753.0,57987.0,58298.0,3811800,0,0
2016-08-15,58316.0,59324.0,58316.0,59146.0,3487200,0,0
2016-08-16,59144.0,59187.0,58589.0,58855.0,3874400,0,0
2016-08-17,58847.0,59324.0,58081.0,59324.0,4179800,0,0
2016-08-18,59324.0,59418.0,58829.0,59166.0,3608700,0,0
2016-08-19,59158.0,59240.0,58599.0,59099.0,2661700,0,0
2016-08-22,59080.0,59099.0,57631.0,57781.0,3133500,0,0
2016-08-23,57781.0,58596.0,57781.0,58020.0,3635900,0,0
2016-08-24,58019.0,58332.0,57456.0,57718.0,3221400,0,0
2016-08-25,57718.0,58124.0,57639.0,57722.0,2974200,0,0
2016-08-26,57725.0,58655.0,57259.0,57716.0,3611600,0,0
2016-08-29,57717.0,58957.0,57642.0,58610.0,2759700,0,0
2016-08-30,58610.0,58882.0,58293.0,58575.0,2729400,0,0
2016-08-31,58580.0,58910.0,57506.0,57901.0,4077700,0,0
2016-09-01,57901.0,58417.0,57638.0,58236.0,3687600,0,0
2016-09-02,58241.0,59655.0,58241.0,59616.0,3771500,0,0
2016-09-05,59616.0,59986.0,59402.0,59566.0,1824900,0,0
2016-09-06,59566.0,60129.0,59182.0,60129.0,3150500,0,0
2016-09-08,60129.0,60310.0,59743.0,60232.0,3843900,0,0
2016-09-09,60220.0,60220.0,57961.0,58000.0,3992900,0,0
2016-09-12,57998.0,58595.0,57511.0,58586.0,3529200,0,0
2016-09-13,58580.0,58580.0,56459.0,56821.0,4377800,0,0
2016-09-14,56812.0,57342.0,56694.0,57059.0,3329100,0,0
2016-09-15,57068.0,58127.0,57068.0,57909.0,2812000,0,0
2016-09-16,57909.0,57909.0,56794.0,57080.0,3710700,0,0
2016-09-19,57083.0,58025.0,57083.0,57350.0,2691100,0,0
